libsvm_id,document_id
0,7712
1,3160
2,6072
3,1725
4,7507
5,3407
6,3963
7,6857
8,8498
9,4040
10,6897
11,7192
12,4407
13,5194
14,8785
15,389
16,8394
17,3503
18,7019
19,3238
20,6512
21,246
22,5909
23,3096
24,6337
25,3362
26,2465
27,645
28,2223
29,6869
30,3031
31,8587
32,8181
33,7715
34,7099
35,5849
36,7935
37,5026
38,3492
39,3293
40,7628
41,5374
42,1519
43,5650
44,5914
45,8706
46,900
47,108
48,1687
49,1767
50,7635
51,2526
52,2549
53,4729
54,2335
55,442
56,4578
57,5826
58,5391
59,462
60,3621
61,1566
62,1575
63,2980
64,238
65,354
66,3725
67,6054
68,4364
69,8422
70,4069
71,4735
72,7448
73,7311
74,2442
75,5843
76,4934
77,858
78,3136
79,3774
80,351
81,7510
82,6129
83,3408
84,6057
85,5326
86,6392
87,8819
88,6675
89,6126
90,5235
91,3186
92,1449
93,3989
94,5809
95,3853
96,7756
97,2461
98,1695
99,2778
100,3703
101,3206
102,4238
103,2125
104,1694
105,6363
106,341
107,96
108,626
109,5150
110,7036
111,3586
112,1978
113,5464
114,4839
115,7351
116,3645
117,6440
118,3940
119,8005
120,1032
121,4137
122,2138
123,201
124,267
125,4571
126,3944
127,7657
128,6643
129,6262
130,2843
131,8006
132,1626
133,7577
134,910
135,7279
136,161
137,2783
138,3342
139,4737
140,5132
141,4644
142,2465
143,7294
144,2275
145,389
146,8220
147,7243
148,4563
149,863
150,246
151,5194
152,8498
153,645
154,6630
155,659
156,6512
157,8095
158,7507
159,1417
160,7006
161,23
162,6228
163,1779
164,3255
165,1235
166,2056
167,7014
168,2853
169,2295
170,5713
171,2806
172,2154
173,3714
174,6148
175,5428
176,3009
177,7513
178,1375
179,2226
180,6133
181,5538
182,8865
183,4827
184,5298
185,985
186,2345
187,1654
188,8203
189,3181
190,729
191,7194
192,5230
193,5303
194,3090
195,5040
196,6090
197,5652
198,929
199,8089
200,6375
201,1085
202,511
203,1441
204,5261
205,2521
206,7369
207,4337
208,7639
209,8183
210,6679
211,8800
212,1383
213,4198
214,802
